2001:418:143a::,2001:418:144c:ffff:ffff:ffff:ffff:ffff,2914,"NTT America, Inc."
2001:418:144d::,2001:418:144d:ffff:ffff:ffff:ffff:ffff,275,"NTT America, Inc."
2001:418:144e::,2001:418:144e:ffff:ffff:ffff:ffff:ffff,15562,Job Snijders
2001:418:144f::,2001:418:149a:ffff:ffff:ffff:ffff:ffff,2914,"NTT America, Inc."
2001:418:149b::,2001:418:149c:ffff:ffff:ffff:ffff:ffff,152644,QINIU (CHINA) limited
2001:418:149d::,2001:418:3806:ffff:ffff:ffff:ffff:ffff,2914,"NTT America, Inc."
2001:418:3807::,2001:418:3807:ffff:ffff:ffff:ffff:ffff,4128,RGnet OU
2001:418:3808::,2001:418:4004:ffff:ffff:ffff:ffff:ffff,2914,"NTT America, Inc."
2001:418:4005::,2001:418:4005:ffff:ffff:ffff:ffff:ffff,1412,"Gravity Interactive, Inc."
2001:418:4006::,2001:418:8003:ffff:ffff:ffff:ffff:ffff,2914,"NTT America, Inc."
2001:418:8004::,2001:418:8005:ffff:ffff:ffff:ffff:ffff,7019,"NTT America, Inc."
2001:418:8006::,2001:418:8006:ffff:ffff:ffff:ffff:ffff,3927,RIPE Network Coordination Centre
2001:418:8007::,2001:418:9807:ffff:ffff:ffff:ffff:ffff,2914,"NTT America, Inc."
2001:418:9808::,2001:418:9808:ffff:ffff:ffff:ffff:ffff,21778,"Dimension Data North America, Inc."
2001:418:9809::,2001:418:ffff:ffff:ffff:ffff:ffff:ffff,2914,"NTT America, Inc."
2001:420::,2001:420:ffff:ffff:ffff:ffff:ffff:ffff,109,"CISCO SYSTEMS, INC."
2001:428::,2001:428:b1f:ffff:ffff:ffff:ffff:ffff,209,"CenturyLink Communications, LLC"
2001:428:b20::,2001:428:b20:ffff:ffff:ffff:ffff:ffff,7359,"CenturyLink Communications, LLC"
2001:428:b21::,2001:428:b25:ffff:ffff:ffff:ffff:ffff,209,"CenturyLink Communications, LLC"
2001:428:b26::,2001:428:b26:ffff:ffff:ffff:ffff:ffff,10753,"Level 3 Communications, Inc."
2001:428:b27::,2001:428:5804:ffff:ffff:ffff:ffff:ffff,209,"CenturyLink Communications, LLC"
2001:428:5805::,2001:428:5805:ffff:ffff:ffff:ffff:ffff,3356,"Level 3 Communications, Inc."
2001:428:5806::,2001:428:63ff:ffff:ffff:ffff:ffff:ffff,209,"CenturyLink Communications, LLC"
2001:428:6400::,2001:428:6400:ffff:ffff:ffff:ffff:ffff,3356,"Level 3 Communications, Inc."
2001:428:6401::,2001:428:ffff:ffff:ffff:ffff:ffff:ffff,209,"CenturyLink Communications, LLC"
2001:430::,2001:430:fff3:ffff:ffff:ffff:ffff:ffff,7332,"LightBound, LLC"
2001:430:fff4::,2001:430:fff4:ffff:ffff:ffff:ffff:ffff,13767,"DataBank Holdings, Ltd."
2001:430:fff5::,2001:430:ffff:ffff:ffff:ffff:ffff:ffff,7332,"LightBound, LLC"
2001:438::,2001:438:8021:ffff:ffff:ffff:ffff:ffff,6461,Zayo Bandwidth
2001:438:8022::,2001:438:8022:ffff:ffff:ffff:ffff:ffff,17025,Zayo Bandwidth
2001:438:8023::,2001:438:8045:ffff:ffff:ffff:ffff:ffff,6461,Zayo Bandwidth
2001:438:8046::,2001:438:8046:ffff:ffff:ffff:ffff:ffff,19158,Zayo Bandwidth
2001:438:8047::,2001:438:ffff:ffff:ffff:ffff:ffff:ffff,6461,Zayo Bandwidth
2001:450::,2001:450:ffff:ffff:ffff:ffff:ffff:ffff,3549,"Level 3 Communications, Inc."
2001:458::,2001:458:ffff:ffff:ffff:ffff:ffff:ffff,8002,"Stealth Communications Services, LLC"
2001:460::,2001:460:ffff:ffff:ffff:ffff:ffff:ffff,209,"CenturyLink Communications, LLC"
2001:468::,2001:468:16:ffff:ffff:ffff:ffff:ffff,11537,Internet2
2001:468:17::,2001:468:17:ffff:ffff:ffff:ffff:ffff,11164,Internet2
2001:468:18::,2001:468:2ff:ffff:ffff:ffff:ffff:ffff,11537,Internet2
2001:468:300::,2001:468:300:ffff:ffff:ffff:ffff:ffff,2637,Georgia Institute of Technology
2001:468:301::,2001:468:4ff:ffff:ffff:ffff:ffff:ffff,11537,Internet2
2001:468:500::,2001:468:5ff:ffff:ffff:ffff:ffff:ffff,14041,University Corporation for Atmospheric Research
2001:468:600::,2001:468:6ff:ffff:ffff:ffff:ffff:ffff,10578,Harvard University
2001:468:700::,2001:468:bff:ffff:ffff:ffff:ffff:ffff,11537,Internet2
2001:468:c00::,2001:468:cff:ffff:ffff:ffff:ffff:ffff,10886,University of Maryland
2001:468:d00::,2001:468:dff:ffff:ffff:ffff:ffff:ffff,11537,Internet2
2001:468:e00::,2001:468:eff:ffff:ffff:ffff:ffff:ffff,2153,CENIC
2001:468:f00::,2001:468:fff:ffff:ffff:ffff:ffff:ffff,11164,Internet2
2001:468:1000::,2001:468:1201:ffff:ffff:ffff:ffff:ffff,11537,Internet2
2001:468:1202::,2001:468:1202:ffff:ffff:ffff:ffff:ffff,20130,Depaul University
2001:468:1203::,2001:468:17ff:ffff:ffff:ffff:ffff:ffff,11537,Internet2
2001:468:1800::,2001:468:18ff:ffff:ffff:ffff:ffff:ffff,10466,MAGPI
2001:468:1900::,2001:468:19ff:ffff:ffff:ffff:ffff:ffff,11537,Internet2
2001:468:1a00::,2001:468:1aff:ffff:ffff:ffff:ffff:ffff,4557,Rice University
2001:468:1b00::,2001:468:1f0b:ffff:ffff:ffff:ffff:ffff,11537,Internet2
2001:468:1f0c::,2001:468:1f0c:ffff:ffff:ffff:ffff:ffff,11164,Internet2
2001:468:1f0d::,2001:468:1f15:ffff:ffff:ffff:ffff:ffff,11537,Internet2
2001:468:1f16::,2001:468:1f16:ffff:ffff:ffff:ffff:ffff,396961,Internet2
2001:468:1f17::,2001:468:1f17:ffff:ffff:ffff:ffff:ffff,11164,Internet2
2001:468:1f18::,2001:468:1f1f:ffff:ffff:ffff:ffff:ffff,11537,Internet2
2001:468:1f20::,2001:468:1f20:ffff:ffff:ffff:ffff:ffff,62775,Internet2
